year,noted_date,avg_temp,min_temp,max_temp,measurements
2018,2018-07-28,31.0,31,31,45
2018,2018-07-29,32.5,32,33,6
2018,2018-07-31,30.92,30,31,13
2018,2018-08-10,28.6,27,30,575
2018,2018-08-11,32.9,32,33,129
2018,2018-08-16,30.46,30,32,220
2018,2018-08-18,32.5,32,33,14
2018,2018-08-19,32.33,31,33,12
2018,2018-08-25,31.23,31,32,133
2018,2018-08-26,31.48,31,32,25
2018,2018-08-30,30.0,30,30,48
2018,2018-09-03,32.02,31,33,1037
2018,2018-09-04,30.16,29,32,886
2018,2018-09-05,27.89,27,28,9
2018,2018-09-06,27.41,27,29,591
2018,2018-09-07,30.0,27,32,551
2018,2018-09-09,29.04,27,32,1339
2018,2018-09-10,30.63,27,32,2727
2018,2018-09-11,31.45,27,34,1694
2018,2018-09-12,30.49,27,34,1838
2018,2018-09-13,30.96,27,33,141
2018,2018-09-14,30.78,27,34,132
2018,2018-09-15,28.47,27,31,49
2018,2018-09-16,31.67,30,33,43
2018,2018-09-17,31.38,28,33,123
2018,2018-09-18,30.56,29,34,82
2018,2018-09-19,31.18,29,33,97
2018,2018-09-20,32.43,30,34,151
2018,2018-09-21,32.36,30,34,101
2018,2018-09-22,34.0,34,34,26
2018,2018-09-24,32.0,30,33,22
2018,2018-09-25,31.6,29,34,98
2018,2018-09-26,31.48,30,34,133
2018,2018-09-27,31.65,30,33,66
2018,2018-09-28,31.83,29,34,161
2018,2018-09-29,33.79,33,34,80
2018,2018-09-30,34.0,34,34,10
2018,2018-10-09,31.96,30,34,71
2018,2018-10-10,30.44,27,34,84
2018,2018-10-11,34.0,34,34,2
2018,2018-10-12,33.49,30,34,49
2018,2018-10-15,31.34,29,34,120
2018,2018-10-16,31.55,27,34,119
2018,2018-10-17,29.25,27,34,118
2018,2018-10-18,33.05,32,34,40
2018,2018-10-20,31.94,29,34,109
2018,2018-10-21,32.22,29,34,147
2018,2018-10-22,32.42,28,34,188
2018,2018-10-23,31.54,30,34,149
2018,2018-10-24,31.24,30,33,92
2018,2018-10-25,30.43,28,33,366
2018,2018-10-26,29.63,27,33,211
2018,2018-10-27,32.71,29,34,341
2018,2018-10-28,33.18,33,34,44
2018,2018-10-30,30.68,29,33,130
2018,2018-10-31,30.99,30,32,91
2018,2018-11-01,30.45,29,32,97
2018,2018-11-02,31.14,30,32,64
2018,2018-11-03,31.54,31,33,103
2018,2018-11-04,31.94,31,33,184
2018,2018-11-05,31.94,31,32,50
2018,2018-11-17,30.26,30,31,152
2018,2018-11-18,30.36,30,31,183
2018,2018-11-19,29.24,27,31,94
2018,2018-11-27,28.45,27,30,87
2018,2018-11-28,28.72,27,29,36
2018,2018-12-03,30.33,27,31,196
2018,2018-12-04,28.12,27,31,260
2018,2018-12-05,29.57,27,31,193
2018,2018-12-06,28.27,27,31,292
2018,2018-12-07,29.09,27,31,737
2018,2018-12-08,29.11,29,31,394
